contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,optionType
SPX260417C00200000,2025-05-02 15:28:11+00:00,200.0,5420.0,5410.0,5449.1,56.0,1.043997,1.0,13,1.0000000000000003e-05,True,REGULAR,USD,call
SPX260417C02000000,2025-04-25 15:37:15+00:00,2000.0,3515.61,3688.5,3728.5,0.0,0.0,19.0,10,0.5489241885375978,True,REGULAR,USD,call
SPX260417C03200000,2025-04-14 14:28:18+00:00,3200.0,2363.71,2572.8,2583.1,0.0,0.0,1.0,1,0.4619575899505616,True,REGULAR,USD,call
SPX260417C03400000,2025-04-14 14:28:18+00:00,3400.0,2180.81,2385.9,2396.0,0.0,0.0,,1,0.4384096992111206,True,REGULAR,USD,call
SPX260417C03800000,2025-04-17 18:36:59+00:00,3800.0,1702.17,2016.1,2035.2,0.0,0.0,4.0,2,0.40209223707199093,True,REGULAR,USD,call
SPX260417C03850000,2025-04-17 18:51:04+00:00,3850.0,1645.48,1973.6,1982.8,0.0,0.0,8.0,3,0.3902343692016602,True,REGULAR,USD,call
SPX260417C03900000,2025-04-17 18:35:25+00:00,3900.0,1614.96,1925.2,1935.6,0.0,0.0,44.0,22,0.3833298361968994,True,REGULAR,USD,call
SPX260417C03950000,2025-04-30 18:01:42+00:00,3950.0,1739.76,1884.3,1893.1,0.0,0.0,4.0,47,0.38060426225662225,True,REGULAR,USD,call
SPX260417C04000000,2025-05-01 19:58:55+00:00,4000.0,1773.95,1839.0,1848.1,0.0,0.0,2.0,56,0.3754945263671875,True,REGULAR,USD,call
SPX260417C04025000,2025-04-17 18:38:18+00:00,4025.0,1507.55,1815.3,1827.4,0.0,0.0,2.0,0,0.3744340511322021,True,REGULAR,USD,call
SPX260417C04050000,2025-04-17 18:36:23+00:00,4050.0,1486.5,1794.5,1803.3,0.0,0.0,40.0,20,0.37045917633056635,True,REGULAR,USD,call
SPX260417C04100000,2025-04-17 18:36:01+00:00,4100.0,1443.4,1748.6,1757.7,0.0,0.0,6.0,3,0.36466852378845216,True,REGULAR,USD,call
SPX260417C04200000,2025-04-01 19:01:46+00:00,4200.0,1590.0,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD,call
SPX260417C04500000,2025-04-28 14:12:45+00:00,4500.0,1402.77,1400.4,1409.1,135.63,10.703631,1.0,6,0.32703691158294673,True,REGULAR,USD,call
SPX260417C04550000,2025-04-08 17:05:19+00:00,4550.0,907.29,1361.2,1369.2,0.0,0.0,,1,0.32418831488609307,True,REGULAR,USD,call
SPX260417C04600000,2025-04-21 17:37:59+00:00,4600.0,877.26,1319.5,1327.0,0.0,0.0,1.0,4,0.3196517315292357,True,REGULAR,USD,call
SPX260417C04700000,2025-04-09 14:07:24+00:00,4700.0,748.21,1234.2,1242.5,0.0,0.0,,10,0.31008265913009647,True,REGULAR,USD,call
SPX260417C04800000,2025-04-28 14:12:45+00:00,4800.0,1155.02,1154.0,1159.5,122.089966,11.819771,1.0,2,0.30083115710258485,True,REGULAR,USD,call
SPX260417C04925000,2025-04-09 18:35:38+00:00,4925.0,866.0,1057.2,1062.7,0.0,0.0,,210,0.2922577107334136,True,REGULAR,USD,call
SPX260417C04950000,2025-04-24 16:28:41+00:00,4950.0,873.62,1035.6,1041.3,0.0,0.0,1.0,2,0.2892651106548309,True,REGULAR,USD,call
SPX260417C04975000,2025-04-30 19:38:43+00:00,4975.0,897.99,1018.1,1023.2,0.0,0.0,9.0,211,0.2880358367538451,True,REGULAR,USD,call
SPX260417C05000000,2025-05-01 18:09:27+00:00,5000.0,969.5,998.2,1003.7,0.0,0.0,2.0,245,0.2859883184719085,True,REGULAR,USD,call
SPX260417C05025000,2025-04-09 16:21:46+00:00,5025.0,560.27,979.1,984.2,0.0,0.0,,1,0.28389216328620903,True,REGULAR,USD,call
SPX260417C05050000,2025-04-30 16:06:25+00:00,5050.0,839.74,959.5,964.8,0.0,0.0,2.0,177,0.28179886909484864,True,REGULAR,USD,call
SPX260417C05075000,2025-04-09 14:24:50+00:00,5075.0,519.1,940.3,945.6,0.0,0.0,,2,0.27976088746070854,True,REGULAR,USD,call
SPX260417C05100000,2025-04-30 15:10:22+00:00,5100.0,792.86,922.1,927.3,0.0,0.0,2.0,14,0.27813870367050164,True,REGULAR,USD,call
SPX260417C05125000,2025-04-21 17:46:55+00:00,5125.0,530.5,901.7,911.5,0.0,0.0,825.0,825,0.2777448401165008,True,REGULAR,USD,call
SPX260417C05150000,2025-05-01 14:19:56+00:00,5150.0,845.68,884.5,891.2,0.0,0.0,1.0,187,0.27497349026679996,True,REGULAR,USD,call
SPX260417C05175000,2025-04-21 14:57:53+00:00,5175.0,527.85,864.2,869.7,0.0,0.0,,1,0.2715526947021484,True,REGULAR,USD,call
SPX260417C05200000,2025-05-01 17:29:52+00:00,5200.0,840.7,849.1,854.5,25.350037,3.109099,10.0,2596,0.2712646879386902,True,REGULAR,USD,call
SPX260417C05225000,2025-04-29 14:06:47+00:00,5225.0,730.56,828.7,834.1,0.0,0.0,6.0,850,0.2683026051330566,True,REGULAR,USD,call
SPX260417C05250000,2025-04-29 17:29:03+00:00,5250.0,712.0,810.4,815.9,0.0,0.0,250.0,675,0.2663866925907135,True,REGULAR,USD,call
SPX260417C05275000,2025-04-25 18:41:09+00:00,5275.0,682.31,794.3,799.8,0.0,0.0,33.0,143,0.26544447178840636,True,REGULAR,USD,call
SPX260417C05300000,2025-05-01 15:56:33+00:00,5300.0,736.46,775.0,780.5,0.0,0.0,1.0,555,0.2628676695537568,True,REGULAR,USD,call
SPX260417C05325000,2025-05-01 17:56:24+00:00,5325.0,721.73,757.2,762.1,0.0,0.0,1.0,32,0.26067710155487056,True,REGULAR,USD,call
SPX260417C05350000,2025-04-28 17:26:47+00:00,5350.0,602.72,741.0,746.3,0.0,0.0,155.0,300,0.2596786145305634,True,REGULAR,USD,call
SPX260417C05375000,2025-05-01 17:56:24+00:00,5375.0,687.13,724.1,729.3,0.0,0.0,1.0,848,0.25803449645042426,True,REGULAR,USD,call
SPX260417C05400000,2025-05-01 15:56:05+00:00,5400.0,670.89,703.8,708.1,0.0,0.0,2.0,5093,0.25432760145187383,True,REGULAR,USD,call
SPX260417C05425000,2025-04-30 16:16:01+00:00,5425.0,577.74,686.6,692.0,0.0,0.0,2.0,239,0.25298865610122684,True,REGULAR,USD,call
SPX260417C05450000,2025-04-30 15:50:20+00:00,5450.0,563.62,670.2,676.0,0.0,0.0,2.0,1021,0.25162396180152896,True,REGULAR,USD,call
SPX260417C05475000,2025-04-30 15:50:20+00:00,5475.0,547.99,652.9,658.9,0.0,0.0,2.0,137,0.24967467099189755,True,REGULAR,USD,call
SPX260417C05500000,2025-05-02 13:30:03+00:00,5500.0,626.9,635.0,639.7,17.559998,2.8818061,1.0,1336,0.24668302457809452,True,REGULAR,USD,call
SPX260417C05525000,2025-05-01 17:34:34+00:00,5525.0,592.93,621.1,626.7,0.0,0.0,20.0,267,0.24650182826995848,True,REGULAR,USD,call
SPX260417C05550000,2025-04-30 16:10:06+00:00,5550.0,502.9,601.9,607.4,0.0,0.0,3.0,139,0.24333470753669736,True,REGULAR,USD,call
SPX260417C05575000,2025-05-01 16:06:42+00:00,5575.0,555.1,586.8,592.7,0.0,0.0,3.0,162,0.24221796607971188,True,REGULAR,USD,call
SPX260417C05600000,2025-05-02 14:18:29+00:00,5600.0,568.3,567.9,573.7,25.109985,4.6226892,1.0,1486,0.23905895149707795,True,REGULAR,USD,call
SPX260417C05625000,2025-05-01 14:14:42+00:00,5625.0,519.5,553.4,559.4,0.0,0.0,1.0,37,0.23797701880455013,True,REGULAR,USD,call
SPX260417C05650000,2025-04-29 17:29:03+00:00,5650.0,453.8,536.8,542.4,0.0,0.0,250.0,1529,0.23558904219627375,True,REGULAR,USD,call
SPX260417C05675000,2025-04-28 17:43:32+00:00,5675.0,406.4,521.6,526.9,0.0,0.0,2.0,75,0.23380855005264278,True,REGULAR,USD,call
