contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,optionType
SPX251017C00200000,2024-10-14 18:08:30+00:00,200.0,5625.94,5683.0,5716.0,0.0,0.0,,1,0.0,True,REGULAR,USD,call
SPX251017C00800000,2024-10-14 18:08:30+00:00,800.0,5052.83,5108.6,5141.6,0.0,0.0,,1,2.7712738237762458,True,REGULAR,USD,call
SPX251017C01000000,2024-10-02 19:52:43+00:00,1000.0,4712.82,4716.0,4748.7,0.0,0.0,,5,1.5105462705230712,True,REGULAR,USD,call
SPX251017C01800000,2024-10-14 18:08:30+00:00,1800.0,4100.85,4152.4,4185.5,0.0,0.0,,1,1.695062254676819,True,REGULAR,USD,call
SPX251017C02000000,2024-10-03 19:50:18+00:00,2000.0,3741.05,3763.9,3796.6,0.0,0.0,,3,1.101914127902985,True,REGULAR,USD,call
SPX251017C02300000,2025-04-07 14:12:06+00:00,2300.0,2818.6,3387.3,3405.4,0.0,0.0,,6,0.582462671508789,True,REGULAR,USD,call
SPX251017C03000000,2025-04-24 19:50:00+00:00,3000.0,2540.0,2717.3,2723.4,0.0,0.0,8.0,22,0.5583387672424318,True,REGULAR,USD,call
SPX251017C03100000,2024-11-06 20:35:01+00:00,3100.0,2935.7,3029.5,3062.8,0.0,0.0,1.0,1,1.2273445615386964,True,REGULAR,USD,call
SPX251017C03700000,2024-10-28 17:52:12+00:00,3700.0,2284.08,2462.2,2495.7,0.0,0.0,,2,1.0044624514675138,True,REGULAR,USD,call
SPX251017C03750000,2025-03-28 16:58:18+00:00,3750.0,1920.56,1861.0,1871.5,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,call
SPX251017C03800000,2024-10-28 17:39:20+00:00,3800.0,2190.57,2368.3,2401.8,0.0,0.0,,1,0.9710104980278015,True,REGULAR,USD,call
SPX251017C03975000,2025-03-10 19:07:20+00:00,3975.0,1713.85,1517.0,1525.2,0.0,0.0,,1,1.0000000000000003e-05,True,REGULAR,USD,call
SPX251017C04000000,2025-04-28 17:42:34+00:00,4000.0,1574.42,1757.3,1762.5,0.0,0.0,5.0,8569,0.4210167609596253,True,REGULAR,USD,call
SPX251017C04075000,2025-04-07 14:23:01+00:00,4075.0,1158.33,1680.2,1688.1,0.0,0.0,,1,0.40482925498962397,True,REGULAR,USD,call
SPX251017C04100000,2025-04-28 17:42:34+00:00,4100.0,1481.42,1659.6,1666.1,0.0,0.0,3.0,17,0.40390038549423224,True,REGULAR,USD,call
SPX251017C04200000,2025-04-09 15:23:03+00:00,4200.0,1025.31,1568.4,1573.3,0.0,0.0,,3,0.39191663387298575,True,REGULAR,USD,call
SPX251017C04250000,2025-03-18 15:12:07+00:00,4250.0,1478.49,1231.4,1237.2,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD,call
