contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,optionType
NDX250718C14000000,2024-12-16 05:08:59+00:00,14000.0,4888.0,5116.0,5184.4,0.0,0.0,,1,1.0000000000000003e-05,True,REGULAR,USD,call
NDX250718C15400000,2025-04-08 17:40:50+00:00,15400.0,2752.4,4855.4,4929.5,0.0,0.0,,0,0.4558503207015991,True,REGULAR,USD,call
NDX250718C15600000,2025-04-08 17:40:50+00:00,15600.0,2596.4,4658.7,4731.3,0.0,0.0,,0,0.4402502722358703,True,REGULAR,USD,call
NDX250718C15800000,2024-12-13 17:18:30+00:00,15800.0,6468.1,5713.8,5786.3,0.0,0.0,2.0,2,0.9471583882236481,True,REGULAR,USD,call
NDX250718C16100000,2024-12-13 17:18:54+00:00,16100.0,6194.7,5434.7,5507.6,0.0,0.0,3.0,3,0.9147547663402558,True,REGULAR,USD,call
NDX250718C16500000,2024-12-13 17:08:28+00:00,16500.0,5826.7,5066.3,5139.2,0.0,0.0,1.0,1,0.8728402456092833,True,REGULAR,USD,call
NDX250718C16900000,2025-04-08 19:36:25+00:00,16900.0,1457.4,3435.5,3503.9,0.0,0.0,,1,0.3716150180435181,True,REGULAR,USD,call
NDX250718C17000000,2025-04-23 14:50:15+00:00,17000.0,2480.0,3342.7,3412.4,0.0,0.0,1.0,1,0.36710227630615233,True,REGULAR,USD,call
NDX250718C17200000,2025-04-09 18:35:38+00:00,17200.0,2374.99,3173.6,3243.2,0.0,0.0,,1,0.36395804352760325,True,REGULAR,USD,call
NDX250718C17300000,2025-04-08 18:06:31+00:00,17300.0,1415.84,3077.0,3162.5,0.0,0.0,,2,0.3636318901729584,True,REGULAR,USD,call
NDX250718C17400000,2025-04-08 18:06:31+00:00,17400.0,1355.77,3005.4,3074.4,0.0,0.0,1.0,2,0.35974570619583124,True,REGULAR,USD,call
NDX250718C17500000,2025-04-08 19:37:31+00:00,17500.0,1109.6,2898.3,2965.8,0.0,0.0,,2,0.3469980690860747,True,REGULAR,USD,call
NDX250718C17700000,2025-04-08 19:36:25+00:00,17700.0,1017.1,2724.3,2791.6,0.0,0.0,,2,0.3394765149688721,True,REGULAR,USD,call
NDX250718C17800000,2025-04-16 18:28:13+00:00,17800.0,1446.7,2639.7,2716.5,0.0,0.0,2.0,3,0.3401202386951446,True,REGULAR,USD,call
NDX250718C17900000,2025-04-08 15:52:02+00:00,17900.0,1229.6,2554.4,2620.8,0.0,0.0,1.0,3,0.3324160577726364,True,REGULAR,USD,call
NDX250718C18000000,2025-04-17 14:15:02+00:00,18000.0,1327.2,2480.2,2544.3,0.0,0.0,60.0,65,0.33187580667495725,True,REGULAR,USD,call
NDX250718C18100000,2025-04-22 19:37:24+00:00,18100.0,1155.5,2387.5,2454.7,0.0,0.0,1.0,5,0.32615286433219903,True,REGULAR,USD,call
NDX250718C18200000,2025-04-17 16:26:33+00:00,18200.0,1210.2,2301.8,2372.2,0.0,0.0,2.0,4,0.32282457425117483,True,REGULAR,USD,call
NDX250718C18300000,2025-04-16 16:24:52+00:00,18300.0,1254.7,2221.2,2285.0,0.0,0.0,4.0,5,0.3175856167840958,True,REGULAR,USD,call
NDX250718C18400000,2025-04-16 16:10:03+00:00,18400.0,1185.1,2148.5,2213.7,0.0,0.0,8.0,34,0.3176156572246551,True,REGULAR,USD,call
NDX250718C18500000,2025-04-30 14:41:57+00:00,18500.0,1476.0,2062.3,2127.0,0.0,0.0,1.0,13,0.31206485137462614,True,REGULAR,USD,call
NDX250718C18600000,2025-04-25 14:16:48+00:00,18600.0,1478.12,2002.5,2015.1,0.0,0.0,1.0,4,0.2979796994113922,True,REGULAR,USD,call
NDX250718C18700000,2025-04-30 15:11:38+00:00,18700.0,1403.1,1925.0,1933.8,0.0,0.0,1.0,8,0.29395428037643423,True,REGULAR,USD,call
NDX250718C18800000,2025-04-24 18:15:57+00:00,18800.0,1306.05,1849.5,1858.1,0.0,0.0,3.0,39,0.2914461420059203,True,REGULAR,USD,call
NDX250718C18900000,2025-04-30 14:41:57+00:00,18900.0,1210.2,1777.0,1787.0,0.0,0.0,2.0,9,0.29003757912635797,True,REGULAR,USD,call
NDX250718C19000000,2025-05-01 15:09:52+00:00,19000.0,1668.0,1701.3,1710.8,19.900024,1.2074525,2.0,79,0.28668163276672365,True,REGULAR,USD,call
NDX250718C19050000,2025-04-24 19:39:08+00:00,19050.0,1133.0,1644.1,1680.0,0.0,0.0,,1,0.2871012452697753,True,REGULAR,USD,call
NDX250718C19100000,2025-04-22 13:45:05+00:00,19100.0,630.6,1623.4,1641.0,0.0,0.0,1.0,27,0.2849349957227706,True,REGULAR,USD,call
NDX250718C19125000,2025-04-24 19:39:08+00:00,19125.0,1088.0,1589.4,1623.6,0.0,0.0,,1,0.28445339500904077,True,REGULAR,USD,call
NDX250718C19150000,2025-04-25 19:39:06+00:00,19150.0,1157.9,1585.4,1591.4,0.0,0.0,1.0,2,0.27952819325447076,True,REGULAR,USD,call
NDX250718C19175000,2025-04-24 19:38:41+00:00,19175.0,1058.6,1544.3,1582.9,0.0,0.0,,1,0.2816663096904754,True,REGULAR,USD,call
NDX250718C19200000,2025-04-14 19:45:07+00:00,19200.0,999.7,1547.3,1557.6,0.0,0.0,1.0,2,0.278780520067215,True,REGULAR,USD,call
NDX250718C19250000,2025-04-24 19:38:41+00:00,19250.0,1015.0,1499.1,1531.7,0.0,0.0,,1,0.280254885816574,True,REGULAR,USD,call
NDX250718C19275000,2025-04-24 19:38:29+00:00,19275.0,996.4,1480.7,1520.1,0.0,0.0,,1,0.28133538801193236,True,REGULAR,USD,call
NDX250718C19300000,2025-05-01 20:01:50+00:00,19300.0,1255.95,1473.0,1483.8,0.0,0.0,15.0,24,0.2751790050268173,True,REGULAR,USD,call
NDX250718C19350000,2025-05-01 15:29:21+00:00,19350.0,1399.75,1444.2,1453.6,0.0,0.0,1.0,2,0.2751918795013427,True,REGULAR,USD,call
NDX250718C19400000,2025-04-24 16:26:32+00:00,19400.0,904.1,1411.4,1419.8,0.0,0.0,5.0,10,0.2740570184135437,True,REGULAR,USD,call
NDX250718C19500000,2025-05-01 20:01:50+00:00,19500.0,1125.45,1333.2,1341.0,0.0,0.0,15.0,28,0.2683207247638702,True,REGULAR,USD,call
NDX250718C19550000,2025-05-01 15:29:21+00:00,19550.0,1264.85,1306.9,1314.4,0.0,0.0,1.0,2,0.2689482361888885,True,REGULAR,USD,call
NDX250718C19600000,2025-04-25 18:43:31+00:00,19600.0,923.22,1266.3,1272.9,0.0,0.0,1.0,11,0.26527758045196537,True,REGULAR,USD,call
NDX250718C19625000,2025-04-25 19:04:38+00:00,19625.0,904.6,1234.3,1259.4,0.0,0.0,3.0,2,0.26544304129123686,True,REGULAR,USD,call
NDX250718C19700000,2025-04-30 19:34:26+00:00,19700.0,837.9,1205.3,1211.8,0.0,0.0,4.0,12,0.2637936780548096,True,REGULAR,USD,call
NDX250718C19800000,2025-04-29 19:13:45+00:00,19800.0,857.6,1134.2,1141.5,0.0,0.0,2.0,9,0.259357229499817,True,REGULAR,USD,call
NDX250718C19900000,2025-04-25 17:23:44+00:00,19900.0,763.0,1072.5,1078.5,0.0,0.0,1.0,3,0.25653104392528536,True,REGULAR,USD,call
NDX250718C20000000,2025-04-29 19:56:12+00:00,20000.0,745.0,1012.6,1024.2,0.0,0.0,1.0,23,0.2556446125125885,True,REGULAR,USD,call
NDX250718C20100000,2025-05-02 13:58:24+00:00,20100.0,899.3,944.7,951.2,309.2,52.397903,8.0,9,0.24926364147186275,True,REGULAR,USD,call
NDX250718C20200000,2025-04-28 19:13:57+00:00,20200.0,572.1,892.1,897.9,0.0,0.0,3.0,14,0.24776829509735104,False,REGULAR,USD,call
NDX250718C20300000,2025-04-30 13:32:55+00:00,20300.0,466.3,835.5,840.9,0.0,0.0,1.0,10,0.24482051726341247,False,REGULAR,USD,call
NDX250718C20400000,2025-04-30 16:02:21+00:00,20400.0,474.4,779.7,785.0,0.0,0.0,3.0,56,0.24170251026630402,False,REGULAR,USD,call
NDX250718C20500000,2025-05-02 14:53:19+00:00,20500.0,713.8,723.4,727.8,202.29999,39.55034,7.0,117,0.23775052341938013,False,REGULAR,USD,call
NDX250718C20600000,2025-05-02 14:21:40+00:00,20600.0,653.55,669.0,673.7,6.1499634,0.94994795,4.0,14,0.23413374974250792,False,REGULAR,USD,call
NDX250718C20700000,2025-04-30 16:40:56+00:00,20700.0,364.5,624.3,628.1,0.0,0.0,1.0,8,0.2323227403259277,False,REGULAR,USD,call
NDX250718C20800000,2025-04-30 13:49:07+00:00,20800.0,288.6,576.7,580.3,0.0,0.0,1.0,8,0.22939403578758238,False,REGULAR,USD,call
NDX250718C20900000,2025-04-30 13:49:07+00:00,20900.0,261.4,526.2,529.7,0.0,0.0,1.0,10,0.2251311542224884,False,REGULAR,USD,call
NDX250718C21000000,2025-05-01 19:48:53+00:00,21000.0,476.5,483.5,487.0,41.299988,9.489887,5.0,89,0.22251525173187253,False,REGULAR,USD,call
