contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,optionType
SPY260331C00345000,2025-04-17 14:29:10+00:00,345.0,195.34,223.12,242.0,0.0,0.0,1.0,1,0.5340775352478027,True,REGULAR,USD,call
SPY260331C00350000,2025-05-02 14:02:16+00:00,350.0,226.0,218.0,238.0,8.5,3.908046,1.0,2,0.532154947052002,True,REGULAR,USD,call
SPY260331C00360000,2025-04-25 13:31:36+00:00,360.0,200.06,217.7,219.46,0.0,0.0,1.0,1,0.42351345535278323,True,REGULAR,USD,call
SPY260331C00370000,2025-04-21 14:49:18+00:00,370.0,162.77,208.5,210.22,0.0,0.0,,1,0.4119626675415039,True,REGULAR,USD,call
SPY260331C00390000,2025-03-31 18:42:33+00:00,390.0,181.5,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD,call
SPY260331C00395000,2025-04-22 13:30:29+00:00,395.0,145.07,185.86,187.42,0.0,0.0,,1,0.38477177734374995,True,REGULAR,USD,call
SPY260331C00400000,2025-05-02 13:44:56+00:00,400.0,180.62,181.61,183.2,4.8799896,2.7768235,2.0,11,0.3821015159606933,True,REGULAR,USD,call
SPY260331C00410000,2025-04-24 13:58:38+00:00,410.0,149.06,172.36,173.9,0.0,0.0,1.0,2,0.3688417608642578,True,REGULAR,USD,call
SPY260331C00415000,2025-04-16 19:00:46+00:00,415.0,131.51,167.85,169.39,0.0,0.0,1.0,3,0.36330287582397464,True,REGULAR,USD,call
SPY260331C00420000,2025-04-10 17:24:55+00:00,420.0,125.02,163.49,164.99,0.0,0.0,1.0,4,0.35857269851684576,True,REGULAR,USD,call
SPY260331C00425000,2025-04-22 16:37:38+00:00,425.0,127.43,159.09,160.58,0.0,0.0,1.0,7,0.3536289002990722,True,REGULAR,USD,call
SPY260331C00430000,2025-04-09 18:42:58+00:00,430.0,128.51,154.78,156.16,0.0,0.0,22.0,5,0.34848673980712885,True,REGULAR,USD,call
SPY260331C00435000,2025-04-10 13:53:50+00:00,435.0,123.27,150.51,151.99,0.0,0.0,1.0,4,0.345084063873291,True,REGULAR,USD,call
SPY260331C00440000,2025-04-29 17:58:56+00:00,440.0,136.92,146.24,147.58,0.0,0.0,1.0,4,0.3397435411071777,True,REGULAR,USD,call
SPY260331C00445000,2025-04-25 17:22:48+00:00,445.0,128.88,141.77,143.38,0.0,0.0,20.0,26,0.33577629562377925,True,REGULAR,USD,call
SPY260331C00450000,2025-05-02 14:17:44+00:00,450.0,137.87,137.65,139.05,10.389992,8.150291,2.0,32,0.3307409455871582,True,REGULAR,USD,call
SPY260331C00455000,2025-04-30 17:23:30+00:00,455.0,119.55,133.43,134.8,0.0,0.0,3.0,17,0.3261175787353515,True,REGULAR,USD,call
SPY260331C00460000,2025-05-01 16:21:33+00:00,460.0,129.0,129.34,130.65,4.419998,3.5479195,1.0,10,0.32199774688720695,True,REGULAR,USD,call
SPY260331C00465000,2025-04-25 16:07:22+00:00,465.0,109.6,125.07,126.39,0.0,0.0,3.0,7,0.31699291412353514,True,REGULAR,USD,call
SPY260331C00470000,2025-05-02 14:27:08+00:00,470.0,121.53,121.06,122.31,6.0599976,5.248114,1.0,2,0.31297989273071286,True,REGULAR,USD,call
SPY260331C00475000,2025-04-29 16:03:50+00:00,475.0,106.4,116.94,117.92,0.0,0.0,2.0,10,0.3068764381408691,True,REGULAR,USD,call
SPY260331C00480000,2025-04-30 19:56:14+00:00,480.0,105.06,112.71,113.9,0.0,0.0,2.0,42,0.3028863047027588,True,REGULAR,USD,call
SPY260331C00485000,2025-05-01 17:28:10+00:00,485.0,105.42,108.7,109.87,0.0,0.0,2.0,27,0.2986444037628173,True,REGULAR,USD,call
SPY260331C00490000,2025-04-28 20:02:20+00:00,490.0,92.59,105.11,106.19,0.0,0.0,9.0,47,0.29622590988159175,True,REGULAR,USD,call
SPY260331C00495000,2025-04-25 19:28:14+00:00,495.0,88.45,100.79,101.85,0.0,0.0,5.0,18,0.2898249118804931,True,REGULAR,USD,call
SPY260331C00500000,2025-05-02 14:08:45+00:00,500.0,96.5,96.85,97.85,2.8199997,3.0102472,3.0,219,0.28517865707397455,True,REGULAR,USD,call
SPY260331C00504000,2025-04-29 17:51:02+00:00,504.0,85.18,93.77,95.3,0.0,0.0,1.0,23,0.2848734843444824,True,REGULAR,USD,call
SPY260331C00505000,2025-05-01 15:59:56+00:00,505.0,89.52,93.21,94.28,0.0,0.0,1.0,168,0.28269149932861326,True,REGULAR,USD,call
SPY260331C00506000,2025-04-07 19:28:06+00:00,506.0,50.0,92.37,93.82,0.0,0.0,1.0,2,0.28353072433471677,True,REGULAR,USD,call
SPY260331C00507000,2025-04-30 13:54:34+00:00,507.0,74.97,91.55,93.01,0.0,0.0,2.0,0,0.2824626197814941,True,REGULAR,USD,call
SPY260331C00508000,2025-04-09 13:45:53+00:00,508.0,48.4,90.79,92.18,0.0,0.0,1.0,18,0.2812800754547119,True,REGULAR,USD,call
SPY260331C00509000,2025-04-24 16:43:13+00:00,509.0,75.19,89.97,91.45,0.0,0.0,,1,0.2806315834045409,True,REGULAR,USD,call
SPY260331C00510000,2025-05-01 18:17:18+00:00,510.0,87.0,89.3,90.33,0.0,0.0,1.0,24,0.27789265815734865,True,REGULAR,USD,call
SPY260331C00512000,2025-04-07 14:14:37+00:00,512.0,52.4,87.67,89.06,0.0,0.0,10.0,0,0.27755696815490727,True,REGULAR,USD,call
SPY260331C00513000,2025-04-07 14:05:42+00:00,513.0,43.7,86.97,88.41,0.0,0.0,1.0,2,0.2772899420166015,True,REGULAR,USD,call
SPY260331C00514000,2025-04-28 17:59:02+00:00,514.0,73.27,86.34,87.7,0.0,0.0,1.0,21,0.2766948551940917,True,REGULAR,USD,call
SPY260331C00515000,2025-05-01 18:17:18+00:00,515.0,84.78,85.76,86.72,1.4899979,1.7889277,1.0,18,0.27468071517944337,True,REGULAR,USD,call
SPY260331C00516000,2025-04-24 15:19:49+00:00,516.0,69.08,84.79,86.11,0.0,0.0,1.0,10,0.27458916336059574,True,REGULAR,USD,call
SPY260331C00518000,2025-04-17 14:17:13+00:00,518.0,58.25,83.37,84.72,0.0,0.0,1.0,13,0.2734905415344238,True,REGULAR,USD,call
SPY260331C00519000,2025-04-14 15:07:10+00:00,519.0,68.0,82.38,83.74,0.0,0.0,1.0,0,0.27145351356506353,True,REGULAR,USD,call
SPY260331C00520000,2025-05-01 19:37:18+00:00,520.0,79.19,82.18,82.92,0.0,0.0,4.0,193,0.2702404519653321,True,REGULAR,USD,call
SPY260331C00521000,2025-04-09 17:37:20+00:00,521.0,58.0,81.17,82.44,0.0,0.0,1.0,3,0.27075924560546877,True,REGULAR,USD,call
SPY260331C00522000,2025-04-29 15:01:56+00:00,522.0,71.09,80.31,81.73,0.0,0.0,12.0,5,0.27008786560058595,True,REGULAR,USD,call
SPY260331C00523000,2025-04-23 13:35:37+00:00,523.0,63.4,79.58,80.99,0.0,0.0,1.0,4,0.26924864059448245,True,REGULAR,USD,call
SPY260331C00524000,2025-04-25 13:42:35+00:00,524.0,66.2,78.75,80.06,0.0,0.0,5.0,10,0.2674328628540039,True,REGULAR,USD,call
SPY260331C00525000,2025-05-01 19:06:43+00:00,525.0,75.6,78.12,79.02,0.0,0.0,1.0,20,0.2650601448822021,True,REGULAR,USD,call
SPY260331C00526000,2025-04-25 18:57:33+00:00,526.0,66.2,77.26,78.56,0.0,0.0,35.0,53,0.2656170851135254,True,REGULAR,USD,call
SPY260331C00527000,2025-04-28 18:00:26+00:00,527.0,64.26,76.59,78.03,0.0,0.0,1.0,5,0.2658078180694581,True,REGULAR,USD,call
SPY260331C00528000,2025-05-01 18:17:33+00:00,528.0,73.86,76.16,77.27,0.0,0.0,1.0,4,0.2648236360168457,True,REGULAR,USD,call
SPY260331C00529000,2025-04-14 13:38:11+00:00,529.0,62.13,75.31,76.58,0.0,0.0,1.0,3,0.2641827732849121,True,REGULAR,USD,call
