contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,optionType
AAPL250718C00095000,2025-04-21 18:47:50+00:00,95.0,96.72,110.45,111.3,0.0,0.0,1.0,13,0.91211025390625,True,REGULAR,USD,call
AAPL250718C00100000,2025-04-29 17:47:29+00:00,100.0,112.1,106.0,106.6,0.0,0.0,1.0,350,0.9318854467773439,True,REGULAR,USD,call
AAPL250718C00105000,2025-04-24 19:54:30+00:00,105.0,105.0,100.85,101.4,0.0,0.0,11.0,40,0.8493667407226562,True,REGULAR,USD,call
AAPL250718C00110000,2025-04-28 19:48:09+00:00,110.0,102.02,95.95,96.65,0.0,0.0,10.0,33,0.823243955078125,True,REGULAR,USD,call
AAPL250718C00115000,2025-04-14 15:45:19+00:00,115.0,90.0,91.1,91.8,0.0,0.0,1.0,53,0.7917501293945313,True,REGULAR,USD,call
AAPL250718C00120000,2025-04-14 17:07:45+00:00,120.0,85.43,86.35,86.9,0.0,0.0,4.0,223,0.7622094091796876,True,REGULAR,USD,call
AAPL250718C00125000,2025-05-01 19:34:39+00:00,125.0,89.3,81.15,81.95,0.0,0.0,2.0,2613,0.7050810742187501,True,REGULAR,USD,call
AAPL250718C00130000,2025-05-01 19:39:49+00:00,130.0,84.23,76.45,77.2,0.0,0.0,1.0,277,0.68555001953125,True,REGULAR,USD,call
AAPL250718C00135000,2025-05-02 14:27:05+00:00,135.0,72.95,71.25,71.8,-3.2000046,-4.2022386,20.0,466,0.610599597167969,True,REGULAR,USD,call
AAPL250718C00140000,2025-04-30 15:09:30+00:00,140.0,72.25,66.65,67.05,0.0,0.0,201.0,688,0.59570716796875,True,REGULAR,USD,call
AAPL250718C00145000,2025-04-23 14:51:35+00:00,145.0,59.89,62.0,62.6,-4.760002,-7.3627253,1.0,192,0.5856975024414062,True,REGULAR,USD,call
AAPL250718C00150000,2025-05-02 14:16:42+00:00,150.0,57.4,57.1,57.65,-6.6299973,-10.354518,14.0,415,0.5459029785156251,True,REGULAR,USD,call
AAPL250718C00155000,2025-05-01 15:33:17+00:00,155.0,50.29,52.3,52.7,-10.009998,-16.600328,23.0,177,0.5096484582519532,True,REGULAR,USD,call
AAPL250718C00160000,2025-05-02 14:44:04+00:00,160.0,48.35,47.55,47.95,-5.950001,-10.957644,4.0,590,0.49133809448242194,True,REGULAR,USD,call
AAPL250718C00165000,2025-04-29 16:26:39+00:00,165.0,43.4,42.85,43.3,-5.59,-11.410492,2.0,210,0.4646049633789063,True,REGULAR,USD,call
AAPL250718C00170000,2025-04-30 19:53:53+00:00,170.0,46.0,38.3,38.65,0.0,0.0,18.0,548,0.43567458862304687,True,REGULAR,USD,call
AAPL250718C00175000,2025-05-02 15:03:07+00:00,175.0,34.01,34.25,34.45,-8.440002,-19.88222,14.0,439,0.4229794030761719,True,REGULAR,USD,call
AAPL250718C00180000,2025-05-02 14:24:16+00:00,180.0,31.2,29.75,29.95,-6.6499977,-17.569347,76.0,1313,0.3940490283203125,True,REGULAR,USD,call
AAPL250718C00185000,2025-05-02 14:26:36+00:00,185.0,25.66,25.7,25.9,-7.41,-22.407015,16.0,1079,0.3772645281982422,True,REGULAR,USD,call
AAPL250718C00190000,2025-05-02 14:56:46+00:00,190.0,22.1,21.8,22.05,-7.6000004,-25.589228,105.0,1654,0.36133451171875,True,REGULAR,USD,call
AAPL250718C00195000,2025-05-02 15:10:03+00:00,195.0,18.0,18.25,18.4,-7.5,-29.411764,68.0,2129,0.3450993225097656,True,REGULAR,USD,call
AAPL250718C00200000,2025-05-02 15:33:15+00:00,200.0,15.1,14.85,14.95,-6.529999,-30.189547,620.0,4327,0.32776551147460936,True,REGULAR,USD,call
AAPL250718C00205000,2025-05-02 15:51:22+00:00,205.0,12.05,11.85,11.95,-5.95,-33.055557,713.0,2769,0.3149482568359374,True,REGULAR,USD,call
AAPL250718C00210000,2025-05-02 15:51:23+00:00,210.0,9.35,9.25,9.35,-5.74,-38.038437,1174.0,4472,0.3042672113037109,False,REGULAR,USD,call
