contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,optionType
SPY250523C00300000,2025-04-28 17:30:28+00:00,300.0,246.64,265.28,267.84,0.0,0.0,2.0,3,1.0488328808593752,True,REGULAR,USD,call
SPY250523C00335000,2025-04-28 16:33:15+00:00,335.0,212.43,230.71,232.98,0.0,0.0,1.0,1,0.9350592431640624,True,REGULAR,USD,call
SPY250523C00355000,2025-04-10 18:25:28+00:00,355.0,174.78,210.48,213.06,0.0,0.0,,4,0.8642591699218749,True,REGULAR,USD,call
SPY250523C00370000,2025-04-10 18:46:44+00:00,370.0,161.43,195.81,197.88,0.0,0.0,,79,0.743166630859375,True,REGULAR,USD,call
SPY250523C00375000,2025-04-22 17:32:10+00:00,375.0,149.91,190.61,192.65,0.0,0.0,10.0,88,0.585941640625,True,REGULAR,USD,call
SPY250523C00380000,2025-04-24 13:30:02+00:00,380.0,158.42,185.63,187.96,0.0,0.0,1.0,51,0.7260769580078125,True,REGULAR,USD,call
SPY250523C00385000,2025-04-30 18:29:33+00:00,385.0,166.29,180.57,183.11,0.0,0.0,2.0,12,0.7407252490234374,True,REGULAR,USD,call
SPY250523C00390000,2025-04-24 13:44:10+00:00,390.0,149.75,175.63,178.18,0.0,0.0,10.0,41,0.7329128271484374,True,REGULAR,USD,call
SPY250523C00395000,2025-04-15 17:16:34+00:00,395.0,146.93,170.68,173.23,0.0,0.0,1.0,21,0.7202176416015625,True,REGULAR,USD,call
SPY250523C00400000,2025-04-10 13:30:22+00:00,400.0,136.75,165.66,168.21,0.0,0.0,,45,0.6945831323242189,True,REGULAR,USD,call
SPY250523C00405000,2025-04-28 14:07:01+00:00,405.0,147.66,160.96,163.44,0.0,0.0,10.0,20,0.7084990087890625,True,REGULAR,USD,call
SPY250523C00410000,2025-04-24 19:55:35+00:00,410.0,139.1,156.26,158.31,0.0,0.0,10.0,20,0.6674837939453127,True,REGULAR,USD,call
SPY250523C00415000,2025-04-30 18:07:03+00:00,415.0,137.58,150.8,153.3,0.0,0.0,1.0,11,0.6445348046875,True,REGULAR,USD,call
SPY250523C00420000,2025-04-09 18:35:13+00:00,420.0,121.33,146.36,148.04,0.0,0.0,,72,0.5795940478515625,True,REGULAR,USD,call
SPY250523C00425000,2025-04-10 18:49:15+00:00,425.0,107.77,141.39,143.51,0.0,0.0,,8,0.6291540991210938,True,REGULAR,USD,call
SPY250523C00430000,2025-04-09 17:35:20+00:00,430.0,108.86,136.42,138.23,0.0,0.0,,5,0.5708050732421875,True,REGULAR,USD,call
SPY250523C00435000,2025-04-25 16:01:04+00:00,435.0,114.29,131.95,132.1,0.0,0.0,1.0,20,1.0000000000000003e-05,True,REGULAR,USD,call
SPY250523C00440000,2025-04-23 13:48:25+00:00,440.0,106.58,127.38,127.53,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD,call
SPY250523C00445000,2025-04-21 16:37:37+00:00,445.0,72.65,121.3,123.04,0.0,0.0,1.0,4,0.4809622216796875,True,REGULAR,USD,call
SPY250523C00450000,2025-04-24 18:06:14+00:00,450.0,98.7,116.98,117.11,0.0,0.0,8.0,19,1.0000000000000003e-05,True,REGULAR,USD,call
SPY250523C00460000,2025-05-01 15:34:56+00:00,460.0,104.37,107.48,107.62,0.0,0.0,46.0,1089,0.2695385546875,True,REGULAR,USD,call
SPY250523C00465000,2025-05-02 14:46:21+00:00,465.0,101.68,102.17,102.3,24.129997,31.115404,1.0,32,1.0000000000000003e-05,True,REGULAR,USD,call
SPY250523C00470000,2025-04-30 13:46:35+00:00,470.0,76.22,97.2,97.33,0.0,0.0,6.0,58,1.0000000000000003e-05,True,REGULAR,USD,call
SPY250523C00475000,2025-04-30 19:25:37+00:00,475.0,77.37,91.61,93.33,0.0,0.0,1.0,21,0.4014952429199219,True,REGULAR,USD,call
SPY250523C00480000,2025-04-29 19:51:59+00:00,480.0,77.54,86.69,88.41,0.0,0.0,3.0,238,0.3891662646484375,True,REGULAR,USD,call
SPY250523C00485000,2025-04-30 15:57:31+00:00,485.0,67.1,82.77,82.91,0.0,0.0,1.0,34,0.3122627368164062,True,REGULAR,USD,call
SPY250523C00490000,2025-05-02 14:10:36+00:00,490.0,76.9,77.42,77.56,19.900002,34.91228,3.0,232,1.0000000000000003e-05,True,REGULAR,USD,call
SPY250523C00495000,2025-05-01 19:33:26+00:00,495.0,71.28,72.55,72.68,1.9400024,2.7978115,18.0,891,0.22657023437499998,True,REGULAR,USD,call
SPY250523C00500000,2025-05-02 15:41:16+00:00,500.0,67.91,67.7,67.83,3.130005,4.8317456,7.0,229,0.2475661181640625,True,REGULAR,USD,call
SPY250523C00505000,2025-05-02 15:41:16+00:00,505.0,63.09,63.07,63.22,3.6399994,6.1227913,8.0,229,0.2745433874511719,True,REGULAR,USD,call
SPY250523C00506000,2025-04-30 14:19:49+00:00,506.0,44.24,62.25,62.39,0.0,0.0,1.0,280,0.2841868457031249,True,REGULAR,USD,call
SPY250523C00507000,2025-04-22 17:45:03+00:00,507.0,28.93,60.91,61.03,0.0,0.0,8.0,315,0.24927508544921873,True,REGULAR,USD,call
SPY250523C00508000,2025-05-01 13:50:58+00:00,508.0,56.04,60.07,60.2,0.0,0.0,1.0,86,0.26148199462890626,True,REGULAR,USD,call
SPY250523C00509000,2025-05-02 14:39:04+00:00,509.0,58.73,59.03,59.16,2.5600014,4.5575953,2.0,67,0.2541578491210938,True,REGULAR,USD,call
SPY250523C00510000,2025-05-01 18:43:39+00:00,510.0,57.18,58.07,58.21,1.9500008,3.5306911,1.0,205,0.2546461254882813,True,REGULAR,USD,call
SPY250523C00511000,2025-04-28 19:58:15+00:00,511.0,45.46,57.1,57.23,0.0,0.0,1.0,25,0.2524488818359375,True,REGULAR,USD,call
SPY250523C00512000,2025-04-30 15:57:31+00:00,512.0,54.67,56.33,56.45,12.489998,29.611185,12.0,42,0.26453372192382807,True,REGULAR,USD,call
SPY250523C00513000,2025-04-23 14:26:27+00:00,513.0,38.64,55.3,55.43,0.0,0.0,1.0,109,0.25916268188476566,True,REGULAR,USD,call
SPY250523C00514000,2025-04-25 16:31:07+00:00,514.0,40.21,54.65,54.79,0.0,0.0,2.0,136,0.27674063110351554,True,REGULAR,USD,call
SPY250523C00515000,2025-05-02 13:47:15+00:00,515.0,50.99,53.28,53.4,1.6400032,3.3232083,20.0,205,0.24915301635742187,True,REGULAR,USD,call
SPY250523C00516000,2025-05-01 17:19:05+00:00,516.0,49.39,52.38,52.5,0.0,0.0,1.0,61,0.2515943981933594,True,REGULAR,USD,call
SPY250523C00517000,2025-04-29 13:51:13+00:00,517.0,39.53,51.44,52.1,0.0,0.0,2.0,399,0.27967028930664056,True,REGULAR,USD,call
SPY250523C00518000,2025-05-01 17:19:05+00:00,518.0,47.54,50.7,50.82,0.0,0.0,2.0,156,0.26142096008300786,True,REGULAR,USD,call
SPY250523C00519000,2025-05-02 15:33:39+00:00,519.0,49.23,49.53,49.66,0.9399986,1.9465699,3.0,165,0.2486647399902344,True,REGULAR,USD,call
SPY250523C00520000,2025-05-02 14:16:16+00:00,520.0,48.29,48.61,48.74,5.0200005,11.601573,6.0,848,0.24878680908203127,True,REGULAR,USD,call
SPY250523C00521000,2025-05-02 13:36:43+00:00,521.0,46.59,48.06,48.18,1.8300018,4.088476,2.0,138,0.26563234375,True,REGULAR,USD,call
SPY250523C00522000,2025-05-01 17:35:54+00:00,522.0,43.59,46.77,47.38,0.0,0.0,1.0,137,0.26978269287109374,True,REGULAR,USD,call
SPY250523C00523000,2025-05-01 15:06:25+00:00,523.0,44.39,45.83,45.95,0.0,0.0,2.0,118,0.24634542724609376,True,REGULAR,USD,call
SPY250523C00524000,2025-05-02 15:39:54+00:00,524.0,45.04,45.03,45.15,12.900002,40.136906,5.0,82,0.25098405273437496,True,REGULAR,USD,call
