contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,optionType
AAPL250523C00120000,2025-04-25 14:16:52+00:00,120.0,88.42,84.9,85.7,0.0,0.0,1.0,1,1.01172369140625,True,REGULAR,USD,call
AAPL250523C00125000,2025-04-09 16:01:05+00:00,125.0,55.7,80.0,80.8,0.0,0.0,,3,0.99804689453125,True,REGULAR,USD,call
AAPL250523C00130000,2025-04-30 14:29:40+00:00,130.0,79.55,74.85,75.7,0.0,0.0,1.0,1,0.860352958984375,True,REGULAR,USD,call
AAPL250523C00135000,2025-04-30 14:29:40+00:00,135.0,74.55,69.95,70.8,0.0,0.0,1.0,3,0.8491226025390625,True,REGULAR,USD,call
AAPL250523C00140000,2025-04-30 16:22:46+00:00,140.0,70.85,65.25,65.85,0.0,0.0,2.0,33,0.8491226025390625,True,REGULAR,USD,call
AAPL250523C00145000,2025-04-24 16:56:49+00:00,145.0,62.25,60.15,61.0,0.0,0.0,3.0,4,0.789064609375,True,REGULAR,USD,call
AAPL250523C00150000,2025-05-02 15:49:48+00:00,150.0,55.89,55.15,55.75,-5.0600014,-8.301888,1.0,11,0.6860382958984376,True,REGULAR,USD,call
AAPL250523C00155000,2025-04-22 13:39:03+00:00,155.0,42.95,50.1,50.75,0.0,0.0,2.0,80,0.6162147753906251,True,REGULAR,USD,call
AAPL250523C00160000,2025-05-01 17:14:38+00:00,160.0,53.2,45.4,46.05,0.0,0.0,1.0,27,0.6293982373046876,True,REGULAR,USD,call
AAPL250523C00165000,2025-04-30 19:45:04+00:00,165.0,46.75,40.6,41.1,0.0,0.0,2.0,66,0.5876506079101562,True,REGULAR,USD,call
AAPL250523C00170000,2025-05-01 17:43:59+00:00,170.0,43.0,35.25,36.0,0.0,0.0,4.0,391,0.5454147021484376,True,REGULAR,USD,call
AAPL250523C00175000,2025-05-01 14:44:16+00:00,175.0,28.72,30.65,31.1,-9.440001,-24.737947,1.0,248,0.49219257812500006,True,REGULAR,USD,call
AAPL250523C00180000,2025-05-02 14:38:52+00:00,180.0,26.4,25.9,26.35,-7.6499996,-22.466959,6.0,520,0.45288633056640626,True,REGULAR,USD,call
AAPL250523C00185000,2025-05-02 15:43:31+00:00,185.0,21.6,21.3,21.55,-8.449999,-28.119797,22.0,281,0.401373173828125,True,REGULAR,USD,call
AAPL250523C00190000,2025-05-02 15:44:08+00:00,190.0,17.1,17.0,17.25,-7.5,-30.487804,30.0,398,0.38172005004882803,True,REGULAR,USD,call
AAPL250523C00195000,2025-05-02 15:42:53+00:00,195.0,12.95,12.75,12.85,-7.95,-38.038277,194.0,695,0.33801931518554684,True,REGULAR,USD,call
AAPL250523C00200000,2025-05-02 15:53:19+00:00,200.0,9.1,9.05,9.15,-7.799999,-46.153843,514.0,1137,0.31677929321289056,True,REGULAR,USD,call
AAPL250523C00205000,2025-05-02 15:50:15+00:00,205.0,6.16,6.05,6.15,-6.4400005,-51.111115,2078.0,1438,0.304145142211914,True,REGULAR,USD,call
AAPL250523C00210000,2025-05-02 15:51:28+00:00,210.0,3.7,3.7,3.75,-5.95,-61.658035,3379.0,1927,0.289496851196289,False,REGULAR,USD,call
AAPL250523C00215000,2025-05-02 15:51:28+00:00,215.0,2.04,1.98,2.01,-4.64,-69.46108,1077.0,2182,0.2739330419921875,False,REGULAR,USD,call
AAPL250523C00220000,2025-05-02 15:51:48+00:00,220.0,1.07,1.04,1.07,-3.2799997,-75.40229,1429.0,4817,0.27197993652343744,False,REGULAR,USD,call
AAPL250523C00225000,2025-05-02 15:50:51+00:00,225.0,0.59,0.57,0.6,-2.15,-78.467155,2228.0,2071,0.27930408203124996,False,REGULAR,USD,call
AAPL250523C00230000,2025-05-02 15:35:13+00:00,230.0,0.35,0.33,0.35,-1.27,-78.395065,1551.0,1657,0.29004616210937495,False,REGULAR,USD,call
AAPL250523C00235000,2025-05-02 15:52:46+00:00,235.0,0.22,0.21,0.23,-0.75,-77.31959,249.0,752,0.30664755859375,False,REGULAR,USD,call
AAPL250523C00240000,2025-05-02 15:47:23+00:00,240.0,0.16,0.14,0.16,-0.45000002,-73.77049,1203.0,891,0.3242255078124999,False,REGULAR,USD,call
AAPL250523C00245000,2025-05-02 15:47:00+00:00,245.0,0.11,0.1,0.12,-0.24,-66.66667,112.0,2137,0.3437565625,False,REGULAR,USD,call
AAPL250523C00250000,2025-05-02 15:47:56+00:00,250.0,0.08,0.08,0.09,-0.16,-66.66667,93.0,757,0.36133451171875,False,REGULAR,USD,call
AAPL250523C00255000,2025-05-02 15:47:56+00:00,255.0,0.07,0.06,0.08,-0.089999996,-64.28571,18.0,437,0.38672488281249995,False,REGULAR,USD,call
AAPL250523C00260000,2025-05-02 15:47:34+00:00,260.0,0.05,0.05,0.06,-0.06,-54.545456,12.0,106,0.40039662109375,False,REGULAR,USD,call
AAPL250523C00265000,2025-05-02 14:27:39+00:00,265.0,0.04,0.03,0.05,-0.050000004,-55.555557,30.0,267,0.41992767578125,False,REGULAR,USD,call
AAPL250523C00270000,2025-05-02 13:52:53+00:00,270.0,0.02,0.02,0.04,-0.030000001,-60.0,40.0,256,0.43555251953125,False,REGULAR,USD,call
AAPL250523C00275000,2025-05-01 18:14:16+00:00,275.0,0.02,0.02,0.04,-0.05,-71.42857,5.0,210,0.46094289062500005,False,REGULAR,USD,call
AAPL250523C00280000,2025-05-02 13:59:24+00:00,280.0,0.01,0.01,0.02,-0.04,-80.00001,1.0,39,0.45313046875,False,REGULAR,USD,call
AAPL250523C00285000,2025-05-01 19:55:47+00:00,285.0,0.04,0.01,0.03,0.0,0.0,10.0,47,0.49609878906250005,False,REGULAR,USD,call
AAPL250523C00290000,2025-05-01 19:56:37+00:00,290.0,0.03,0.01,0.02,0.01,50.0,1.0,587,0.49609878906250005,False,REGULAR,USD,call
AAPL250523C00295000,2025-05-01 19:50:59+00:00,295.0,0.02,0.0,0.02,0.0,0.0,5.0,44,0.5195360546875,False,REGULAR,USD,call
AAPL250523C00300000,2025-05-01 19:07:56+00:00,300.0,0.02,0.0,0.02,0.0,0.0,304.0,346,0.507817421875,False,REGULAR,USD,call
AAPL250523C00305000,2025-05-02 14:17:06+00:00,305.0,0.01,0.0,0.02,0.0,0.0,1.0,432,0.5312546875,False,REGULAR,USD,call
AAPL250523C00310000,2025-04-21 16:11:31+00:00,310.0,0.03,0.0,0.02,0.0,0.0,,1,0.5468795312500001,False,REGULAR,USD,call
AAPL250523C00320000,2025-04-15 14:06:26+00:00,320.0,0.01,0.0,0.02,0.0,0.0,2.0,1,0.585941640625,False,REGULAR,USD,call
AAPL250523C00325000,2025-04-30 13:30:00+00:00,325.0,0.06,0.0,0.02,0.0,0.0,1.0,21,0.6015664843750002,False,REGULAR,USD,call
AAPL250523P00110000,2025-05-01 15:58:05+00:00,110.0,0.04,0.01,0.02,0.0,0.0,12.0,307,0.85937640625,False,REGULAR,USD,put
AAPL250523P00120000,2025-05-01 19:47:10+00:00,120.0,0.02,0.02,0.03,-0.030000001,-60.0,15.0,385,0.789064609375,False,REGULAR,USD,put
